"Fact","Fact Note","Doral city, Florida","Value Note for Doral city, Florida","Miami Shores village, Florida","Value Note for Miami Shores village, Florida","Florida City city, Florida","Value Note for Florida City city, Florida","Coral Gables city, Florida","Value Note for Coral Gables city, Florida","North Miami Beach city, Florida","Value Note for North Miami Beach city, Florida","Miami Gardens city, Florida","Value Note for Miami Gardens city, Florida"
"Population estimates, July 1, 2017,  (V2017)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population estimates, July 1, 2016,  (V2016)","","57,947","","10,762","","12,078","","50,815","","43,891","","113,058",""
"Population estimates base, April 1, 2010,  (V2017)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population estimates base, April 1, 2010,  (V2016)","","45,709","","10,421","","11,252","","46,752","","41,534","","107,167",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2017,  (V2017)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","","26.8%","","3.3%","","7.3%","","8.7%","","5.7%","","5.5%",""
"Population, Census, April 1, 2010","","45,704","","10,493","","11,245","","46,780","","41,523","","107,167",""
"Persons under 5 years, percent, July 1, 2016,  (V2016)","","X","","X","","X","","X","","X","","X",""
"Persons under 5 years, percent, April 1, 2010","","7.7%","","5.7%","","10.5%","","4.7%","","6.4%","","6.9%",""
"Persons under 18 years, percent, July 1, 2016,  (V2016)","","X","","X","","X","","X","","X","","X",""
"Persons under 18 years, percent, April 1, 2010","","28.3%","","20.0%","","34.8%","","17.9%","","23.4%","","26.9%",""
"Persons 65 years and over, percent,  July 1, 2016,  (V2016)","","X","","X","","X","","X","","X","","X",""
"Persons 65 years and over, percent, April 1, 2010","","6.0%","","11.7%","","6.9%","","15.6%","","11.3%","","11.2%",""
"Female persons, percent,  July 1, 2016,  (V2016)","","X","","X","","X","","X","","X","","X",""
"Female persons, percent, April 1, 2010","","51.9%","","51.0%","","52.5%","","52.7%","","52.1%","","53.2%",""
"White alone, percent, July 1, 2016,  (V2016)","(a)","X","","X","","X","","X","","X","","X",""
"Black or African American alone, percent, July 1, 2016,  (V2016)","(a)","X","","X","","X","","X","","X","","X",""
"American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","(a)","X","","X","","X","","X","","X","","X",""
"Asian alone, percent, July 1, 2016,  (V2016)","(a)","X","","X","","X","","X","","X","","X",""
"Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","(a)","X","","X","","X","","X","","X","","X",""
"Two or More Races, percent, July 1, 2016,  (V2016)","","X","","X","","X","","X","","X","","X",""
"Hispanic or Latino, percent, July 1, 2016,  (V2016)","(b)","X","","X","","X","","X","","X","","X",""
"White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","","X","","X","","X","","X","","X","","X",""
"Veterans, 2012-2016","","500","","347","","383","","1,426","","963","","2,799",""
"Foreign born persons, percent, 2012-2016","","65.5%","","25.5%","","32.3%","","38.9%","","49.7%","","31.3%",""
"Housing units,  July 1, 2016,  (V2016)","","X","","X","","X","","X","","X","","X",""
"Housing units, April 1, 2010","","17,785","","3,935","","3,792","","20,266","","16,402","","34,284",""
"Owner-occupied housing unit rate, 2012-2016","","49.6%","","88.8%","","28.4%","","62.7%","","49.6%","","65.0%",""
