"Fact","Fact Note","Homestead city, Florida","Value Note for Homestead city, Florida","Sweetwater city, Florida","Value Note for Sweetwater city, Florida","Miami Beach city, Florida","Value Note for Miami Beach city, Florida","Miami Springs city, Florida","Value Note for Miami Springs city, Florida","Surfside town, Florida","Value Note for Surfside town, Florida","Pinecrest village, Florida","Value Note for Pinecrest village, Florida"
"Population estimates, July 1, 2017,  (V2017)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population estimates, July 1, 2016,  (V2016)","","67,996","","20,701","","91,917","","14,431","","5,811","","19,444",""
"Population estimates base, April 1, 2010,  (V2017)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population estimates base, April 1, 2010,  (V2016)","","60,523","","19,919","","87,739","","13,809","","5,570","","18,220",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2017,  (V2017)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","","12.3%","","3.9%","","4.8%","","4.5%","","4.3%","","6.7%",""
"Population, Census, April 1, 2010","","60,512","","13,499","","87,779","","13,809","","5,744","","18,223",""
"Persons under 5 years, percent, July 1, 2016,  (V2016)","","X","","X","","X","","X","","X","","X",""
"Persons under 5 years, percent, April 1, 2010","","10.5%","","5.0%","","4.2%","","5.4%","","6.0%","","4.3%",""
"Persons under 18 years, percent, July 1, 2016,  (V2016)","","X","","X","","X","","X","","X","","X",""
"Persons under 18 years, percent, April 1, 2010","","31.2%","","18.5%","","12.8%","","20.7%","","18.7%","","27.3%",""
"Persons 65 years and over, percent,  July 1, 2016,  (V2016)","","X","","X","","X","","X","","X","","X",""
"Persons 65 years and over, percent, April 1, 2010","","6.5%","","16.6%","","16.2%","","16.5%","","25.2%","","12.0%",""
"Female persons, percent,  July 1, 2016,  (V2016)","","X","","X","","X","","X","","X","","X",""
"Female persons, percent, April 1, 2010","","49.6%","","51.5%","","47.6%","","52.2%","","52.9%","","51.3%",""
